invoice_and_item_number,date,store_name,city,county,category_name,vendor_name,item_description,state_bottle_retail,bottles_sold,sale_dollars
INV-78586600024,2025-01-14,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,100% AGAVE TEQUILA,DIAGEO AMERICAS,DON JULIO REPOSADO,50.24,6,301.44
INV-78557900013,2025-01-13,CASEY'S GENERAL STORE #2769 / WILLIAMSBURG,WILLIAMSBURG,IOWA,COCKTAILS/RTD,SAZERAC COMPANY  INC,BUZZBALLZ BIGGIES CHILI MANGO,15.0,3,45.0
INV-79795700008,2025-02-19,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,AMERICAN VODKAS,PHILLIPS BEVERAGE,PHILLIPS VODKA,11.51,6,69.06
INV-78196800002,2025-01-02,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET,17.25,12,207.0
INV-78558000007,2025-01-13,CASEY'S GENERAL STORE # 2528/ WILLIAMSBURG,WILLIAMSBURG,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET,17.25,12,207.0
INV-79901700006,2025-02-24,CASEY'S GENERAL STORE # 2774/AMANA,AMANA,IOWA,AMERICAN VODKAS,MCCORMICK DISTILLING CO.,MCCORMICK 80PRF VODKA PET,2.76,72,198.72
INV-79344100018,2025-02-05,CASEY'S GENERAL STORE #2488 / N ENGLISH,NORTH ENGLISH,IOWA,NEUTRAL GRAIN SPIRITS FLAVORED,OLE SMOKY DISTILLERY LLC,OLE SMOKY APPLE PIE MOONSHINE 70PRF MINI,13.13,1,13.13
INV-78271300022,2025-01-03,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,NEUTRAL GRAIN SPIRITS FLAVORED,OLE SMOKY DISTILLERY LLC,OLE SMOKY BANANA PUDDING CREAM MOONSHINE MINI,13.13,2,26.26
INV-78562500016,2025-01-13,BIG G FOOD STORE,MARENGO,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY MINI SLEEVE,6.56,12,78.72
INV-79104900008,2025-01-28,KARLS GROCERY / EDGEWOOD,EDGEWOOD,IOWA,AMERICAN BRANDIES,LUXCO INC,ARROW BLACKBERRY BRANDY,8.63,1,8.63
INV-79704100038,2025-02-17,BIG G FOOD STORE,MARENGO,IOWA,COCKTAILS/RTD,JIM BEAM BRANDS,ON THE ROCKS TRES GENERACIONES JALAPENO PINEAPPLE MARGARITA,18.75,1,18.75
INV-78850100001,2025-01-21,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,BLENDED WHISKIES,BACARDI USA INC,HA ANGELS ENVY CASK STRENGTH,187.5,1,187.5
INV-79695400002,2025-02-17,THE DEPOT WILLIAMSBURG,WILLIAMSBURG,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL REGAL APPLE,26.24,2,52.48
INV-79962100021,2025-02-25,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,100% AGAVE TEQUILA,HEAVEN HILL BRANDS,ARANDAS WHITE TEQUILA,12.0,2,24.0
INV-78786000007,2025-01-20,BIG G FOOD STORE,MARENGO,IOWA,STRAIGHT BOURBON WHISKIES,HEAVEN HILL BRANDS,EVAN WILLIAMS BLACK,26.25,2,52.5
INV-79504400028,2025-02-11,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,100% AGAVE TEQUILA,"MAST-JAGERMEISTER US, INC",TEREMANA BLANCO TEQUILA,12.78,12,153.36
INV-79485800005,2025-02-10,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,STRAIGHT BOURBON WHISKIES,JIM BEAM BRANDS,JIM BEAM,17.25,12,207.0
INV-79472600002,2025-02-10,WILTON EXPRESS,WILTON,IOWA,SPICED RUM,HEAVEN HILL BRANDS,ADMIRAL NELSON SPICED PET,10.5,12,126.0
INV-79478800029,2025-02-10,BIG G FOOD STORE,MARENGO,IOWA,AMERICAN FLAVORED VODKA,PARK STREET IMPORTS,THE ORIGINAL PICKLE SHOT SPICY PICKLE VODKA,12.51,12,150.12
INV-79485800009,2025-02-10,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,BLENDED WHISKIES,DIAGEO AMERICAS,SEAGRAMS 7 CROWN,20.99,6,125.94
INV-79485800019,2025-02-10,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,WHITE RUM,LUXCO INC,PARAMOUNT WHITE RUM,12.0,6,72.0
INV-79795700011,2025-02-19,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,AMERICAN BRANDIES,LUXCO INC,PARAMOUNT BLACKBERRY BRANDY,17.63,6,105.78
INV-78390200032,2025-01-07,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,WHITE RUM,BACARDI USA INC,BACARDI SUPERIOR MINI,8.31,1,8.31
INV-78390200011,2025-01-07,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,TENNESSEE WHISKIES,BROWN FORMAN CORP.,JACK DANIELS OLD #7 BLACK LABEL MINI,17.25,2,34.5
INV-78271300021,2025-01-03,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,NEUTRAL GRAIN SPIRITS FLAVORED,OLE SMOKY DISTILLERY LLC,OLE SMOKY BUTTER PECAN MOONSHINE MINI,13.13,2,26.26
INV-79114900016,2025-01-28,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,IMPORTED VODKAS,BACARDI USA INC,GREY GOOSE,10.76,2,21.52
INV-78397000015,2025-01-07,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN FLAVORED VODKA,MCCORMICK DISTILLING CO.,MCCORMICK APPLE VODKA,1.79,5,8.95
INV-79478800034,2025-02-10,BIG G FOOD STORE,MARENGO,IOWA,AMERICAN SCHNAPPS,JIM BEAM BRANDS,DEKUYPER LUSCIOUS PEACHTREE PET,10.13,2,20.26
INV-79736200035,2025-02-18,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,100% AGAVE TEQUILA,DIAGEO AMERICAS,DON JULIO BLANCO,46.49,3,139.47
INV-78872400001,2025-01-21,KARLS GROCERY / EDGEWOOD,EDGEWOOD,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL VANILLA,26.24,4,104.96
INV-79863500009,2025-02-21,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,SCOTCH WHISKIES,DIAGEO AMERICAS,JOHNNIE WALKER RED,26.24,3,78.72
INV-78832500024,2025-01-21,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN BRANDIES,SAZERAC COMPANY  INC,PAUL MASSON GRANDE AMBER BRANDY VS,1.5,48,72.0
INV-79901700003,2025-02-24,CASEY'S GENERAL STORE # 2774/AMANA,AMANA,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET,4.88,24,117.12
INV-78755500021,2025-01-19,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,AMERICAN VODKAS,LUXCO INC,HAWKEYE VODKA PET,5.25,12,63.0
INV-79504400013,2025-02-11,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN VODKAS,INFINIUM SPIRITS,SEAGRAMS EXTRA SMOOTH VODKA,2.64,48,126.72
INV-79344200006,2025-02-05,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,BLENDED WHISKIES,DIAGEO AMERICAS,SEAGRAMS 7 CROWN,20.99,6,125.94
INV-78558100005,2025-01-13,THE DEPOT WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN VODKAS,FIFTH GENERATION INC,TITOS HANDMADE VODKA,28.5,6,171.0
INV-78823700018,2025-01-21,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,SPICED RUM,HEAVEN HILL BRANDS,ADMIRAL NELSON SPICED,18.75,6,112.5
INV-79795700010,2025-02-19,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,SPICED RUM,SAZERAC COMPANY  INC,CALIBER SPICED RUM,11.04,6,66.24
INV-78605400006,2025-01-14,HOMETOWN FOODS / TRAER,TRAER,IOWA,AMERICAN BRANDIES,SAZERAC COMPANY  INC,PAUL MASSON GRANDE AMBER BRANDY VS,15.0,6,90.0
INV-79485800003,2025-02-10,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,IRISH WHISKIES,PERNOD RICARD USA,JAMESON,31.47,12,377.64
INV-79104900014,2025-01-28,KARLS GROCERY / EDGEWOOD,EDGEWOOD,IOWA,AMERICAN SCHNAPPS,LUXCO INC,SOOH ARROW RASPBERRY SCHNAPPS,7.5,1,7.5
INV-79704100012,2025-02-17,BIG G FOOD STORE,MARENGO,IOWA,BLENDED WHISKIES,LAIRD & COMPANY,FIVE STAR PET,5.99,2,11.98
INV-78664800034,2025-01-15,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,TENNESSEE WHISKIES,BROWN FORMAN CORP.,JACK DANIELS TENNESSEE FIRE,23.87,2,47.74
INV-79919600021,2025-02-24,CASEY'S GENERAL STORE # 2528/ WILLIAMSBURG,WILLIAMSBURG,IOWA,100% AGAVE TEQUILA,"MAST-JAGERMEISTER US, INC",TEREMANA BLANCO TEQUILA,23.87,2,47.74
INV-79554300010,2025-02-12,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,AMERICAN FLAVORED VODKA,PARK STREET IMPORTS,THE ORIGINAL PICKLE SHOT DILL PICKLE VODKA,12.51,3,37.53
INV-79478800021,2025-02-10,BIG G FOOD STORE,MARENGO,IOWA,COCKTAILS/RTD,"ZING ZANG, LLC",ZING ZANG BLOODY MARY RTS,12.47,2,24.94
INV-79114900010,2025-01-28,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,STRAIGHT BOURBON WHISKIES,JIM BEAM BRANDS,JIM BEAM,17.25,6,103.5
INV-78786200024,2025-01-20,CASEY'S GENERAL STORE # 2774/AMANA,AMANA,IOWA,AMERICAN VODKAS,FIFTH GENERATION INC,TITOS HANDMADE VODKA,8.13,12,97.56
INV-79107800026,2025-01-28,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,100% AGAVE TEQUILA,WILLIAM GRANT & SONS INC,MILAGRO REPOSADO,14.25,12,171.0
INV-79273800003,2025-02-03,WILTON EXPRESS,WILTON,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET,4.88,24,117.12
INV-79074800002,2025-01-27,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET,9.0,12,108.0
INV-79472400002,2025-02-10,WILTON EXPRESS,WILTON,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET PET,9.0,12,108.0
INV-79919600010,2025-02-24,CASEY'S GENERAL STORE # 2528/ WILLIAMSBURG,WILLIAMSBURG,IOWA,TENNESSEE WHISKIES,BROWN FORMAN CORP.,JACK DANIELS OLD #7 BLACK LABEL,23.87,12,286.44
INV-79900500006,2025-02-24,WILTON EXPRESS,WILTON,IOWA,AMERICAN VODKAS,PHILLIPS BEVERAGE,PHILLIPS VODKA,5.36,12,64.32
INV-78397000025,2025-01-07,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN BRANDIES,SAZERAC COMPANY  INC,PAUL MASSON GRANDE AMBER BRANDY VS,7.5,12,90.0
INV-78786100010,2025-01-20,PRIMESTAR / MARENGO,MARENGO,IOWA,AMERICAN FLAVORED VODKA,PHILLIPS BEVERAGE,UV RED CHERRY,17.25,6,103.5
INV-78823700016,2025-01-21,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN VODKAS,FIFTH GENERATION INC,TITOS HANDMADE VODKA,28.5,12,342.0
INV-79515000009,2025-02-11,HOMETOWN FOODS / TRAER,TRAER,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY MINI SLEEVE,6.56,12,78.72
INV-78786000025,2025-01-20,BIG G FOOD STORE,MARENGO,IOWA,COCKTAILS/RTD,PROXIMO,1800 ULTIMATE BLACK CHERRY MARGARITA PET,15.06,1,15.06
INV-79074900004,2025-01-27,CASEY'S GENERAL STORE # 2528/ WILLIAMSBURG,WILLIAMSBURG,IOWA,STRAIGHT BOURBON WHISKIES,JIM BEAM BRANDS,MAKERS MARK,27.0,4,108.0
INV-78557900012,2025-01-13,CASEY'S GENERAL STORE #2769 / WILLIAMSBURG,WILLIAMSBURG,IOWA,IMPORTED BRANDIES,MOET HENNESSY USA,HENNESSY VS FLASK,17.24,12,206.88
INV-78319800016,2025-01-06,BIG G FOOD STORE,MARENGO,IOWA,AMERICAN VODKAS,FIFTH GENERATION INC,TITOS HANDMADE VODKA,15.0,12,180.0
INV-79104900001,2025-01-28,KARLS GROCERY / EDGEWOOD,EDGEWOOD,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET TOASTED CARAMEL,17.25,6,103.5
INV-79074800004,2025-01-27,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET,17.25,12,207.0
INV-79005600005,2025-01-24,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,AMERICAN VODKAS,LUXCO INC,HAWKEYE VODKA MINI,6.75,2,13.5
INV-79258600033,2025-02-03,BIG G FOOD STORE,MARENGO,IOWA,IMPORTED CORDIALS & LIQUEURS,DISARONNO INTERNATIONAL,DISARONNO AMARETTO,23.73,1,23.73
INV-78870300009,2025-01-21,HOMETOWN FOODS / TRAER,TRAER,IOWA,IMPORTED SCHNAPPS,SAZERAC COMPANY  INC,DR MCGILLICUDDYS PEACH,13.34,2,26.68
INV-79962100004,2025-02-25,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN VODKAS,FIFTH GENERATION INC,TITOS HANDMADE VODKA,8.13,12,97.56
INV-79258800014,2025-02-03,CASEY'S GENERAL STORE # 2774/AMANA,AMANA,IOWA,AMERICAN VODKAS,FIFTH GENERATION INC,TITOS HANDMADE VODKA,8.13,12,97.56
INV-78664800022,2025-01-15,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,SPICED RUM,DIAGEO AMERICAS,CAPTAIN MORGAN ORIGINAL SPICED PET,14.24,12,170.88
INV-79258800016,2025-02-03,CASEY'S GENERAL STORE # 2774/AMANA,AMANA,IOWA,SPICED RUM,DIAGEO AMERICAS,CAPTAIN MORGAN ORIGINAL SPICED,14.24,12,170.88
INV-79005600020,2025-01-24,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,MIXTO TEQUILA,PROXIMO,JOSE CUERVO ESPECIAL REPOSADO FLASK,9.8,24,235.2
INV-79704100002,2025-02-17,BIG G FOOD STORE,MARENGO,IOWA,CANADIAN WHISKIES,SAZERAC COMPANY  INC,CANADIAN LTD WHISKY,15.0,6,90.0
INV-78562600005,2025-01-13,CASEY'S GENERAL STORE #2533 / MARENGO,MARENGO,IOWA,AMERICAN VODKAS,FIFTH GENERATION INC,TITOS HANDMADE VODKA,28.5,6,171.0
INV-78558000017,2025-01-13,CASEY'S GENERAL STORE # 2528/ WILLIAMSBURG,WILLIAMSBURG,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY PET,24.0,6,144.0
INV-78870400001,2025-01-21,HOMETOWN FOODS / TRAER,TRAER,IOWA,COCKTAILS/RTD,LUXCO INC,PARAMOUNT LONG ISLAND ICED TEA,7.13,12,85.56
INV-79736200029,2025-02-18,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY MINI DISPENSER,38.7,2,77.4
INV-79438900008,2025-02-07,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,STRAIGHT BOURBON WHISKIES,JIM BEAM BRANDS,JIM BEAM HONEY,17.25,3,51.75
INV-79863500010,2025-02-21,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,IMPORTED CORDIALS & LIQUEURS,HEAVEN HILL BRANDS,HPNOTIQ,18.75,6,112.5
INV-78870300002,2025-01-21,HOMETOWN FOODS / TRAER,TRAER,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL VANILLA,26.24,12,314.88
INV-79478800024,2025-02-10,BIG G FOOD STORE,MARENGO,IOWA,COFFEE LIQUEURS,PERNOD RICARD USA,KAHLUA SALTED CARAMEL,20.99,12,251.88
INV-78334400023,2025-01-06,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,CREAM LIQUEURS,DIAGEO AMERICAS,BAILEYS ORIGINAL IRISH CREAM,24.74,12,296.88
INV-79725700015,2025-02-18,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,MIXTO TEQUILA,PROXIMO,JOSE CUERVO ESPECIAL SILVER,9.8,24,235.2
INV-79160900006,2025-01-29,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,AMERICAN VODKAS,"BLUE OX SPIRITS, INC.",BLUE OX VODKA,11.45,6,68.7
INV-79005600018,2025-01-24,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET PEACH CANADIAN WHISKEY,17.25,6,103.5
INV-78755500002,2025-01-19,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL APPLE AND PEACH MINI,15.0,6,90.0
INV-79736200016,2025-02-18,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN VODKAS,MCCORMICK DISTILLING CO.,MCCORMICK 80PRF VODKA PET,2.76,3,8.28
INV-79704100016,2025-02-17,BIG G FOOD STORE,MARENGO,IOWA,STRAIGHT RYE WHISKIES,CAMPARI AMERICA,WILD TURKEY 101 RYE,22.5,3,67.5
INV-78319800008,2025-01-06,BIG G FOOD STORE,MARENGO,IOWA,STRAIGHT BOURBON WHISKIES,HEAVEN HILL BRANDS,EVAN WILLIAMS BLACK,26.25,2,52.5
INV-78786000021,2025-01-20,BIG G FOOD STORE,MARENGO,IOWA,NEUTRAL GRAIN SPIRITS,LUXCO INC,EVERCLEAR 151,26.25,2,52.5
INV-78755500016,2025-01-19,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,AMERICAN DRY GINS,PERNOD RICARD USA,SEAGRAMS EXTRA DRY GIN,6.33,10,63.3
INV-79074700008,2025-01-27,CASEY'S GENERAL STORE #2769 / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN VODKAS,"BLUE OX SPIRITS, INC.",BLUE OX VODKA PET,5.54,12,66.48
INV-79438900038,2025-02-07,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,SOUTHERN COMFORT PET,15.5,12,186.0
INV-79725700008,2025-02-18,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN BRANDIES,E & J GALLO WINERY,E & J VS,3.21,48,154.08
INV-79695200002,2025-02-17,CASEY'S GENERAL STORE #2769 / WILLIAMSBURG,WILLIAMSBURG,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET,17.25,6,103.5
INV-79438900003,2025-02-07,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,STRAIGHT BOURBON WHISKIES,LAIRD & COMPANY,G & W BOURBON,17.99,6,107.94
INV-78605400002,2025-01-14,HOMETOWN FOODS / TRAER,TRAER,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET,10.5,12,126.0
INV-79704200011,2025-02-17,PRIMESTAR / MARENGO,MARENGO,IOWA,AMERICAN CORDIALS & LIQUEURS,INTERCONTINENTAL PACKAGING COMPANY/PRESTIGE BEVERAGE GROUP,KINKY PEACH MANGO MINI,7.26,1,7.26
INV-79472400011,2025-02-10,WILTON EXPRESS,WILTON,IOWA,AMERICAN CORDIALS & LIQUEURS,SAZERAC COMPANY  INC,99 PINEAPPLE MINI,78.6,1,78.6
INV-79258600036,2025-02-03,BIG G FOOD STORE,MARENGO,IOWA,STRAIGHT BOURBON WHISKIES,LUXCO INC,PENELOPE HAVANA RUM MAPLE DOUBLE CASK FINISH,60.0,1,60.0
INV-78397000016,2025-01-07,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN FLAVORED VODKA,MCCORMICK DISTILLING CO.,MCCORMICK PEACH VODKA,1.79,5,8.95
INV-78872400012,2025-01-21,KARLS GROCERY / EDGEWOOD,EDGEWOOD,IOWA,AMERICAN BRANDIES,LUXCO INC,PARAMOUNT APRICOT BRANDY,8.63,2,17.26
INV-78196800017,2025-01-02,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,AMERICAN BRANDIES,SAZERAC COMPANY  INC,PAUL MASSON APPLE GRANDE AMBER BRANDY,7.5,2,15.0
INV-78381800013,2025-01-07,KARLS GROCERY / EDGEWOOD,EDGEWOOD,IOWA,AMERICAN SCHNAPPS,JIM BEAM BRANDS,DEKUYPER RAGIN' ROOT BEER,10.13,2,20.26
INV-79258600004,2025-02-03,BIG G FOOD STORE,MARENGO,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL REGAL APPLE,50.99,1,50.99
INV-79344200010,2025-02-05,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,FLAVORED RUM,HEAVEN HILL BRANDS,ADMIRAL NELSON CHERRY SPICED,10.5,3,31.5
INV-79736200005,2025-02-18,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,STRAIGHT BOURBON WHISKIES,JIM BEAM BRANDS,JIM BEAM,17.25,4,69.0
INV-79114900021,2025-01-28,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN VODKAS,E & J GALLO WINERY,NEW AMSTERDAM 80PRF,17.25,2,42.0
INV-79695300001,2025-02-17,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET TOASTED CARAMEL,9.0,12,108.0
INV-79478800001,2025-02-10,BIG G FOOD STORE,MARENGO,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL REGAL APPLE,26.24,12,314.88
INV-79485800011,2025-02-10,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN DRY GINS,SAZERAC COMPANY  INC,FLEISCHMANNS GIN,4.88,12,58.56
INV-78562500009,2025-01-13,BIG G FOOD STORE,MARENGO,IOWA,AMERICAN VODKAS,LAIRD & COMPANY,FIVE O'CLOCK VODKA PET,5.28,12,63.36
INV-79258800017,2025-02-03,CASEY'S GENERAL STORE # 2774/AMANA,AMANA,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY,8.0,24,192.0
INV-78334300012,2025-01-06,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN VODKAS,DIAGEO AMERICAS,SMIRNOFF 80PRF PET,22.13,6,132.78
INV-79478900006,2025-02-10,PRIMESTAR / MARENGO,MARENGO,IOWA,AMERICAN FLAVORED VODKA,PHILLIPS BEVERAGE,UV RED CHERRY,17.25,6,103.5
INV-79258600011,2025-02-03,BIG G FOOD STORE,MARENGO,IOWA,IRISH WHISKIES,PERNOD RICARD USA,JAMESON,48.72,30,1461.6
INV-79752100001,2025-02-19,HOMETOWN FOODS / TRAER,TRAER,IOWA,TEMPORARY & SPECIALTY PACKAGES,KIRIN BEER & SPIRITS OF AMERICA INC / FOUR ROSES DISTILLERY,FOUR ROSES SINGLE BARREL - PRIVATE SELECTION-BARREL STRENGTH,75.0,1,75.0
INV-78664800010,2025-01-15,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,TEMPORARY & SPECIALTY PACKAGES,SAZERAC COMPANY  INC,STAGG BOURBON,45.0,1,45.0
INV-79114900013,2025-01-28,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,STRAIGHT BOURBON WHISKIES,BROWN FORMAN CORP.,WOODFORD RESERVE,36.08,3,108.24
INV-79695400005,2025-02-17,THE DEPOT WILLIAMSBURG,WILLIAMSBURG,IOWA,IRISH WHISKIES,PERNOD RICARD USA,JAMESON,26.24,4,104.96
INV-79438900028,2025-02-07,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY,1.5,48,72.0
INV-78558000011,2025-01-13,CASEY'S GENERAL STORE # 2528/ WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN VODKAS,"BLUE OX SPIRITS, INC.",BLUE OX VODKA PET,5.54,12,66.48
INV-79344100011,2025-02-05,CASEY'S GENERAL STORE #2488 / N ENGLISH,NORTH ENGLISH,IOWA,SPICED RUM,DIAGEO AMERICAS,CAPTAIN MORGAN ORIGINAL SPICED PET,14.24,12,170.88
INV-78870300003,2025-01-21,HOMETOWN FOODS / TRAER,TRAER,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL REGAL APPLE,30.74,12,368.88
INV-79074700020,2025-01-27,CASEY'S GENERAL STORE #2769 / WILLIAMSBURG,WILLIAMSBURG,IOWA,TENNESSEE WHISKIES,OLE SMOKY DISTILLERY LLC,OLE SMOKY COOKIES AND CREAM MINI,26.25,2,52.5
INV-79655900007,2025-02-14,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,TEMPORARY & SPECIALTY PACKAGES,BROWN FORMAN CORP.,WOODFORD RESERVE DOUBLE DOUBLE OAKED,155.96,1,155.96
INV-79515000010,2025-02-11,HOMETOWN FOODS / TRAER,TRAER,IOWA,CREAM LIQUEURS,DIAGEO AMERICAS,BAILEYS SALTED CARAMEL,24.74,1,24.74
INV-79753900021,2025-02-19,KARLS GROCERY / EDGEWOOD,EDGEWOOD,IOWA,SCOTCH WHISKIES,SAZERAC COMPANY  INC,LAUDERS,9.38,1,9.38
INV-78755500025,2025-01-19,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,AMERICAN VODKAS,DIAGEO AMERICAS,SMIRNOFF 80PRF,3.81,6,22.86
INV-78390200024,2025-01-07,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN VODKAS,DIAGEO AMERICAS,SMIRNOFF 80PRF,12.38,2,24.76
INV-79438900031,2025-02-07,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,IMPORTED CORDIALS & LIQUEURS,"MAST-JAGERMEISTER US, INC",JAGERMEISTER LIQUEUR,11.52,4,46.08
INV-78786000038,2025-01-20,BIG G FOOD STORE,MARENGO,IOWA,AMERICAN SCHNAPPS,JIM BEAM BRANDS,DEKUYPER SOUR APPLE PUCKER PET,10.13,2,20.26
INV-78786000027,2025-01-20,BIG G FOOD STORE,MARENGO,IOWA,COCKTAILS/RTD,"ZING ZANG, LLC",ZING ZANG BLOODY MARY RTS,12.47,2,24.94
